Date, Open, High, Low
2017-08-03, 169.3, 169.7, 168.25
2017-08-02, 170.3, 170.55, 166.91
2017-08-01, 169.82, 170.47, 169.05
2017-07-31, 172.0, 172.72, 168.55
2017-07-28, 169.07, 173.43, 169.05
2017-07-27, 174.7, 175.49, 167.5
2017-07-26, 166.01, 166.01, 164.1
2017-07-25, 165.01, 165.54, 163.8619
2017-07-24, 164.64, 166.17, 164.31
2017-07-21, 164.16, 165.05, 163.75
2017-07-20, 164.8, 165.0, 162.81
2017-07-19, 163.59, 165.7, 163.17
2017-07-18, 159.66, 163.73, 159.42
2017-07-17, 160.25, 160.78, 158.81
2017-07-14, 160.13, 160.32, 159.3254
2017-07-13, 158.74, 159.78, 158.4227
2017-07-12, 156.49, 159.16, 156.2
2017-07-11, 153.37, 155.4225, 152.91
2017-07-10, 151.69, 153.98, 151.51
2017-07-07, 149.25, 151.99, 149.19
2017-07-06, 149.03, 150.04, 148.0
2017-07-05, 149.0, 150.85, 148.13
2017-07-03, 151.72, 152.15, 147.8
2017-06-30, 151.9, 151.92, 150.06
2017-06-29, 152.28, 152.5, 148.9175
2017-06-28, 150.92, 153.47, 149.86
2017-06-27, 152.84, 153.31, 150.39
2017-06-26, 156.25, 156.5, 153.1954
2017-06-23, 152.72, 155.2, 152.65
2017-06-22, 153.01, 154.55, 152.91
2017-06-21, 152.36, 154.08, 151.88
2017-06-20, 152.88, 153.84, 152.21
2017-06-19, 151.71, 153.57, 151.71
2017-06-16, 149.59, 150.83, 148.6
2017-06-15, 147.67, 150.0366, 146.3747
2017-06-14, 151.26, 152.4, 149.05
2017-06-13, 150.15, 151.18, 148.9
2017-06-12, 148.17, 149.195, 144.56
2017-06-09, 154.77, 155.59, 146.61
2017-06-08, 154.08, 154.73, 153.1
2017-06-07, 153.27, 153.75, 152.34
2017-06-06, 153.41, 154.52, 152.48
2017-06-05, 153.64, 154.7088, 153.41
2017-06-02, 151.85, 153.63, 151.3
2017-06-01, 151.75, 152.29, 150.3
2017-05-31, 152.7, 153.35, 151.09
2017-05-30, 151.97, 152.9, 151.64
2017-05-26, 152.23, 152.25, 151.15
2017-05-25, 150.3, 152.59, 149.95
2017-05-24, 148.51, 150.23, 148.42
2017-05-23, 148.52, 148.81, 147.25
2017-05-22, 148.08, 148.59, 147.69
2017-05-19, 148.445, 149.39, 147.96
2017-05-18, 144.72, 148.15, 144.51
2017-05-17, 148.0, 148.67, 144.4216
2017-05-16, 150.11, 150.21, 149.03
2017-05-15, 150.17, 151.48, 149.77
2017-05-12, 150.4, 150.46, 149.63
2017-05-11, 150.31, 150.65, 149.41
2017-05-10, 150.23, 150.52, 148.86
2017-05-09, 151.49, 152.59, 150.21
2017-05-08, 150.71, 151.08, 149.74
2017-05-05, 151.45, 151.63, 149.79
2017-05-04, 150.17, 151.52, 148.72
2017-05-03, 153.6, 153.6, 151.34
2017-05-02, 153.34, 153.44, 151.66
2017-05-01, 151.74, 152.57, 151.42
2017-04-28, 149.5, 151.53, 149.07
2017-04-27, 146.67, 147.75, 146.14
2017-04-26, 147.09, 147.59, 146.09
2017-04-25, 145.79, 147.15, 145.7898
2017-04-24, 144.96, 145.6738, 144.34
2017-04-21, 143.9, 144.17, 142.27
2017-04-20, 142.95, 144.25, 142.689
2017-04-19, 141.35, 143.04, 141.27
